id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
80405,George Frederick Mitchell,M,23.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
80408,"Harold James ""Harry"" Mitchell",M,26.0,,,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Boxing,Boxing Men's Light-Heavyweight,Gold
80413,"Henry Kent Mitchell, II",M,21.0,173.0,51.0,United States,USA,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Pairs,Bronze
80413,"Henry Kent Mitchell, II",M,25.0,173.0,51.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Pairs,Gold
80419,Manteo Mitchell,M,25.0,185.0,79.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
80423,Michele Anne Mitchell,F,22.0,162.0,50.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Women's Platform,Silver
80423,Michele Anne Mitchell,F,26.0,162.0,50.0,United States,USA,1988 Summer,1988,Summer,Seoul,Diving,Diving Women's Platform,Silver
80428,"Richard Charles ""Rick"" Mitchell",M,25.0,183.0,71.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,Silver
80435,Ryan Scott Mitchell,M,23.0,185.0,77.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
80439,Tom Mitchell,M,27.0,178.0,85.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
80443,Claire Mitchell-Taverner,F,30.0,164.0,56.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold
80470,Gyrgy Mitr,M,18.0,,,Hungary,HUN,1948 Summer,1948,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
