id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
25215,"Charles Meldrum ""Charlie"" Daniels",M,23.0,183.0,70.0,United States,USA,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
25219,Isabelle Francis Daniels (-Holston),F,19.0,166.0,61.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
25220,Jack Tupper Daniels,M,23.0,180.0,79.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
25220,Jack Tupper Daniels,M,27.0,180.0,79.0,United States,USA,1960 Summer,1960,Summer,Roma,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
25224,Quincey Daniels,M,19.0,171.0,63.0,United States,USA,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Welterweight,Bronze
25309,Adrian Delano Dantley,M,21.0,195.0,95.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
25312,Jamie Annette Dantzscher,F,18.0,152.0,49.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Bronze
25378,"Charles Frick ""Chuck"" Darling",M,26.0,203.0,102.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
25382,"Thomas Ward ""Tom"" Darling",M,26.0,193.0,92.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Silver
25392,"William Thomas ""Bill"" Darnton",M,20.0,185.0,74.0,United States,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
25419,Natalie Rose Darwitz,F,18.0,160.0,65.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
25419,Natalie Rose Darwitz,F,22.0,160.0,65.0,United States,USA,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
25419,Natalie Rose Darwitz,F,26.0,160.0,65.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
25490,"Philip Burton ""Phil"" Daubenspeck",M,26.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Bronze
25542,Ira Nelson Davenport,M,24.0,178.0,72.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 800 metres,Bronze
25544,Lindsay Ann Davenport,F,20.0,191.0,79.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Tennis,Tennis Women's Singles,Gold
25546,"Wilbur D. ""Willie"" Davenport",M,25.0,186.0,84.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,Gold
25546,"Wilbur D. ""Willie"" Davenport",M,33.0,186.0,84.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 110 metres Hurdles,Bronze
25591,Bruce Oram Davidson,M,22.0,180.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
25591,Bruce Oram Davidson,M,26.0,180.0,66.0,United States,USA,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
25591,Bruce Oram Davidson,M,34.0,180.0,66.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
25591,Bruce Oram Davidson,M,46.0,180.0,66.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
25609,Caryn Davies,F,22.0,193.0,82.0,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Silver
25609,Caryn Davies,F,26.0,193.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
25609,Caryn Davies,F,30.0,193.0,82.0,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
25616,"Richard Allen ""Dick"" Davies",M,28.0,186.0,80.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
25667,"Anthony Marshon Davis, Jr.",M,19.0,208.0,100.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
25668,Barry Alan Davis,M,22.0,155.0,57.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
25669,"Walter Francis ""Buddy"" Davis",M,21.0,203.0,90.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's High Jump,Gold
25670,Calvin B. Davis,M,24.0,183.0,79.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,Bronze
25673,Clarissa Glennet Davis (-Wrightsil),F,25.0,185.0,73.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,Bronze
25684,"Eugene Lee ""Gene"" Davis",M,30.0,168.0,61.0,United States,USA,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
25686,Glenn Ashby Davis,M,22.0,183.0,73.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 400 metres Hurdles,Gold
25686,Glenn Ashby Davis,M,25.0,183.0,73.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres Hurdles,Gold
25686,Glenn Ashby Davis,M,25.0,183.0,73.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
25694,Jack Wells Davis,M,21.0,190.0,70.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 110 metres Hurdles,Silver
25694,Jack Wells Davis,M,26.0,190.0,70.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 110 metres Hurdles,Silver
25701,"John Henry Davis, Jr.",M,27.0,,101.5,United States,USA,1948 Summer,1948,Summer,London,Weightlifting,Weightlifting Men's Heavyweight,Gold
25701,"John Henry Davis, Jr.",M,31.0,,101.5,United States,USA,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Heavyweight,Gold
25703,"Joshua Clark ""Josh"" Davis",M,23.0,188.0,84.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
25703,"Joshua Clark ""Josh"" Davis",M,23.0,188.0,84.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
25703,"Joshua Clark ""Josh"" Davis",M,23.0,188.0,84.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
25703,"Joshua Clark ""Josh"" Davis",M,28.0,188.0,84.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
25703,"Joshua Clark ""Josh"" Davis",M,28.0,188.0,84.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
25705,"Kenneth Bryan ""Kenny"" Davis",M,23.0,180.0,82.0,United States,USA,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Silver
25709,Lucy Davis,F,23.0,165.0,55.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
25713,Meryl Elizabeth Davis,F,27.0,160.0,49.0,United States,USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze
25716,Nicole Marie Davis,F,26.0,167.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Silver
25716,Nicole Marie Davis,F,30.0,167.0,66.0,United States,USA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Silver
25717,Otis Crandall Davis,M,28.0,185.0,74.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres,Gold
25717,Otis Crandall Davis,M,28.0,185.0,74.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
25721,"Roderick Hopkins ""Rod"" Davis",M,28.0,182.0,87.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Gold
25723,Shani Earl Davis,M,23.0,188.0,86.0,United States,USA,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating Men's 1,000 metres",Gold
25723,Shani Earl Davis,M,23.0,188.0,86.0,United States,USA,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating Men's 1,500 metres",Silver
25723,Shani Earl Davis,M,27.0,188.0,86.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Men's 1,000 metres",Gold
25723,Shani Earl Davis,M,27.0,188.0,86.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Men's 1,500 metres",Silver
25728,Walter Paul Davis,M,21.0,195.0,86.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
25732,"Howard Edward Davis, Jr.",M,20.0,178.0,60.0,United States,USA,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Lightweight,Gold
25774,Dominique Margaux Dawes (-Thompson),F,15.0,158.0,54.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,Bronze
25774,Dominique Margaux Dawes (-Thompson),F,19.0,158.0,54.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Gold
